lp;ilosc;czas calkowity;czas/zapis
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;2;0.0004
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;0;0
10;5000;1;0.0002
10;5000;0;0
10;5000;0;0
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
1,0,10
